epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,3.974368095397949,,,,,
0,94,,,11.544647216796875,0.06214439123868942,12.054567337036133,0.06311041116714478,6.197422981262207
0,94,8.76232624053955,,,,,,
1,99,,1.921450138092041,,,,,
1,149,,1.99589204788208,,,,,
1,189,,,8.555229187011719,0.04497934505343437,10.013598442077637,0.046353187412023544,4.801811695098877
1,189,2.087115526199341,,,,,,
2,199,,2.206516742706299,,,,,
2,249,,1.178760051727295,,,,,
2,284,,,8.558792114257812,0.046382077038288116,8.748098373413086,0.046709246933460236,3.6874823570251465
2,284,1.56044602394104,,,,,,
3,299,,1.4507694244384766,,,,,
3,349,,1.4981348514556885,,,,,
3,379,,,6.18206787109375,0.03300593048334122,6.677760124206543,0.033627841621637344,4.0403666496276855
3,379,1.4084545373916626,,,,,,
4,399,,1.550987720489502,,,,,
4,449,,1.6445326805114746,,,,,
4,474,,,11.074386596679688,0.059825144708156586,11.424615859985352,0.06173540651798248,4.6941609382629395
4,474,1.4332048892974854,,,,,,
5,499,,1.4383561611175537,,,,,
5,549,,2.4462413787841797,,,,,
5,569,,,7.816841125488281,0.04034630209207535,10.228790283203125,0.04176073148846626,4.843340873718262
5,569,1.5004444122314453,,,,,,
6,599,,1.3974138498306274,,,,,
6,649,,0.9793567061424255,,,,,
6,664,,,9.262435913085938,0.04881832003593445,10.690300941467285,0.0503930039703846,5.573644638061523
6,664,1.447353482246399,,,,,,
7,699,,1.0485961437225342,,,,,
7,749,,1.1037704944610596,,,,,
7,759,,,6.455421447753906,0.03324398398399353,8.56779670715332,0.03421775624155998,3.7946457862854004
7,759,1.2819424867630005,,,,,,
8,799,,1.2604135274887085,,,,,
8,849,,0.97856605052948,,,,,
8,854,,,7.928306579589844,0.04195322096347809,8.9534912109375,0.042810093611478806,3.9984517097473145
8,854,1.1733306646347046,,,,,,
