epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
19,3099,,61.49848175048828,,,,,
19,3149,,74.1693115234375,,,,,
19,3199,,102.04963684082031,,,,,
19,3219,,,293.4539489746094,45989668.0,746.3944702148438,0.6041239500045776,175.98158264160156
19,3219,108.3180160522461,,,,,,
20,3249,,147.26486206054688,,,,,
20,3299,,135.35977172851562,,,,,
20,3349,,92.57392120361328,,,,,
20,3380,,,279.69659423828125,49062004.0,705.3568725585938,0.5800580978393555,160.2995147705078
20,3380,110.26653289794922,,,,,,
21,3399,,120.50936126708984,,,,,
21,3449,,118.08980560302734,,,,,
21,3499,,101.62133026123047,,,,,
21,3541,,,303.5711669921875,47949532.0,766.19384765625,0.5942134261131287,173.67051696777344
21,3541,108.93525695800781,,,,,,
22,3549,,137.3129425048828,,,,,
22,3599,,120.67063903808594,,,,,
22,3649,,95.64686584472656,,,,,
22,3699,,120.10266876220703,,,,,
22,3702,,,297.32183837890625,43646008.0,752.0789184570312,0.5859130620956421,170.82325744628906
22,3702,110.14261627197266,,,,,,
23,3749,,130.91465759277344,,,,,
23,3799,,135.56532287597656,,,,,
23,3849,,126.84766387939453,,,,,
23,3863,,,292.6510009765625,44243496.0,743.2120361328125,0.5868393778800964,167.58352661132812
23,3863,113.70657348632812,,,,,,
24,3899,,116.33882904052734,,,,,
24,3949,,119.35838317871094,,,,,
24,3999,,139.01007080078125,,,,,
24,4024,,,287.9930114746094,44655464.0,720.560302734375,0.5689719915390015,164.7555389404297
24,4024,113.62054443359375,,,,,,
25,4049,,109.12489318847656,,,,,
25,4099,,94.57354736328125,,,,,
25,4149,,117.57218170166016,,,,,
25,4185,,,313.2510681152344,38931220.0,799.9596557617188,0.6029930114746094,177.9535675048828
25,4185,112.82608795166016,,,,,,
26,4199,,99.5562515258789,,,,,
26,4249,,98.20589447021484,,,,,
26,4299,,159.58029174804688,,,,,
26,4346,,,292.17584228515625,46474428.0,737.3317260742188,0.5800458192825317,168.82386779785156
26,4346,112.69695281982422,,,,,,
27,4349,,112.92782592773438,,,,,
27,4399,,134.49505615234375,,,,,
27,4449,,116.34075164794922,,,,,
27,4499,,142.9565887451172,,,,,
27,4507,,,288.1080322265625,45669464.0,729.825439453125,0.581615149974823,163.58033752441406
27,4507,112.30119323730469,,,,,,
28,4549,,131.19541931152344,,,,,
28,4599,,142.2986602783203,,,,,
28,4649,,88.67236328125,,,,,
28,4668,,,300.03717041015625,36896656.0,762.2769775390625,0.5867056250572205,168.9430694580078
28,4668,115.8321762084961,,,,,,
29,4699,,131.10128784179688,,,,,
29,4749,,97.6353530883789,,,,,
29,4799,,102.2247085571289,,,,,
